pass_id	figure_id	chapter	asset_id	asset_type	page	image_count	largest_image_width_in	largest_image_height_in	largest_image_area_pct	caption_present	source_note_present	rights_stage_present	min_caption_font_pt	image_within_page	caption_collision	source_note_proximity	legibility_status	issues
I-0294	F11.05	CH11	A-0285-011	source_surface_paper_report_excerpt	172	1	4.16	5.89	45.3	yes	yes	no	10.75	yes	no	same_page	warn	image_too_small_for_trade_book_review;rights_stage_missing_on_page
I-0294	F12.01	CH12	A-0094	svg_diagram	179	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F12.02	CH12	A-0095	svg_diagram	181	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F12.03	CH12	A-0096	svg_diagram	186	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F12.04	CH12	A-0097	svg_diagram	191	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F12.05	CH12	A-0260-017	source_excerpt_card_svg	188	1	4.95	3.18	29.1	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F12.06	CH12	A-0260-018	source_excerpt_card_svg	189	1	4.95	3.18	29.1	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F13.01	CH13	A-0286-009	benchmark_model_card_surface_leaderboard_surface	204	1	4.95	3.56	32.6	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F13.02	CH13	A-0289-T005	benchmark_model_landscape_table	209	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F13.03	CH13	A-0289-T002	benchmark_model_landscape_table	214	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F14.01	CH14	A-0071	svg_diagram	219	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F14.02	CH14	A-0072	svg_diagram	221	1	4.95	3.18	29.1	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F14.03	CH14	A-0073	svg_diagram	223	1	4.95	3.18	29.1	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F14.04	CH14	A-0261-001	svg_repair_source_card	227	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F14.05	CH14	A-0261-002	svg_repair_source_card	230	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F14.06	CH14	A-0287-002	real_world_source_image	233	1	4.95	3.35	30.7	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F15.01	CH15	A-0287-001	real_world_source_image	236	1	4.95	3.35	30.7	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F15.02	CH15	A-0284-051	real_world_person_image	239	1	3.93	5.10	37.1	yes	yes	yes	10.15	yes	no	same_page	warn	image_too_small_for_trade_book_review
I-0294	F15.03	CH15	A-0285-019	source_surface_pdf_presentation_page	242	1	4.95	2.78	25.5	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F15.04	CH15	A-0285-018	source_surface_pdf_presentation_page	244	1	4.95	2.78	25.5	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F15.05	CH15	A-0029	svg_claim_card	247	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F15.06	CH15	A-0285-017	source_surface_pdf_presentation_page	249	1	4.95	2.78	25.5	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F15.07	CH15	A-0260-022	source_excerpt_card_svg	252	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F16.01	CH16	A-0015	svg_diagram	258	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F16.02	CH16	A-0020	svg_diagram	261	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F16.03	CH16	A-0021	svg_diagram	263	1	4.95	3.18	29.1	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F16.04	CH16	A-0288-014	source_surface_pdf_presentation_page	266	1	4.95	2.78	25.5	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F16.05	CH16	A-0023	svg_diagram	268	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F16.06	CH16	A-0287-009	real_world_source_image	271	1	4.95	3.35	30.7	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F16.07	CH16	A-0261-004	svg_repair_source_card	273	1	4.95	3.18	29.1	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F16.08	CH16	A-0261-005	svg_repair_source_card	277	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F16.09	CH16	A-0261-006	svg_repair_source_card	279	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F17.01	CH17	A-0064	svg_diagram	281	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F17.02	CH17	A-0065	svg_diagram	284	1	4.95	3.18	29.1	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F17.03	CH17	A-0066	svg_diagram	289	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F17.04	CH17	A-0067	svg_diagram	292	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F18.01	CH18	A-0060	svg_diagram	296	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F18.02	CH18	A-0061	svg_diagram	298	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F18.03	CH18	A-0062	svg_diagram	302	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F18.04	CH18	A-0063	svg_diagram	304	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F18.05	CH18	A-0260-003	source_excerpt_card_svg	307	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F19.01	CH19	A-0288-006	source_surface_paper_report_excerpt	312	1	4.55	5.89	49.6	yes	yes	no	10.75	yes	no	same_page	warn	rights_stage_missing_on_page
I-0294	F19.02	CH19	A-0289-007	benchmark_model_card_surface_leaderboard_surface	315	1	4.95	3.56	32.6	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F19.03	CH19	A-0289-T003	benchmark_model_landscape_table	318	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F19.04	CH19	A-0286-008	benchmark_model_card_surface_repo_surface	320	1	4.95	3.56	32.6	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F19.05	CH19	A-0286-T004	benchmark_model_landscape_table	324	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F20.01	CH20	A-0289-010	benchmark_model_card_surface_repo_surface	329	1	4.95	3.56	32.6	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F20.02	CH20	A-0285-013	source_surface_paper_report_excerpt	331	1	4.55	5.89	49.6	yes	yes	no	10.75	yes	no	same_page	warn	rights_stage_missing_on_page
I-0294	F20.03	CH20	A-0285-014	source_surface_paper_report_excerpt	333	1	4.16	5.89	45.3	yes	yes	no	10.75	yes	no	same_page	warn	image_too_small_for_trade_book_review;rights_stage_missing_on_page
I-0294	F20.04	CH20	A-0289-008	benchmark_model_card_surface_leaderboard_surface	338	1	4.95	3.56	32.6	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F20.05	CH20	A-0284-014	real_world_source_image	341	1	4.95	2.60	23.9	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F21.01	CH21	A-0289-T004	benchmark_model_landscape_table	346	1	4.95	3.18	29.1	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F21.02	CH21	A-0288-005	source_surface_paper_report_excerpt	347	1	4.55	5.87	49.5	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F21.03	CH21	A-0285-012	source_surface_paper_report_excerpt	348	1	4.16	5.87	45.2	yes	yes	yes	10.75	yes	no	same_page	warn	image_too_small_for_trade_book_review
I-0294	F21.04	CH21	A-0286-T005	benchmark_model_landscape_table	349	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F22.01	CH22	A-0286-T001	benchmark_model_landscape_table	361	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F22.02	CH22	A-0287-026	real_world_logo	364	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F22.03	CH22	A-0286-T002	benchmark_model_landscape_table	367	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F22.04	CH22	A-0286-T003	benchmark_model_landscape_table	370	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F23.01	CH23	A-0074	svg_diagram	375	1	4.95	3.18	29.1	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F23.02	CH23	A-0075	svg_diagram	376	1	4.95	3.18	29.1	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F23.03	CH23	A-0076	svg_diagram	377	1	4.95	3.18	29.1	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F23.04	CH23	A-0077	svg_diagram	378	1	4.95	3.18	29.1	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F24.01	CH24	A-0108	svg_diagram	388	1	4.95	3.18	29.1	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F24.02	CH24	A-0109	svg_diagram	389	1	4.95	3.18	29.1	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F24.03	CH24	A-0110	svg_diagram	390	1	4.95	3.18	29.1	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F24.04	CH24	A-0111	svg_diagram	391	1	4.95	3.18	29.1	yes	yes	yes	10.15	yes	no	same_page	pass	none
